class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33
lay,0.13129,0.68938,0.20244,0.11549,0.69642,0.2087,0.11523,0.69766,0.20868,0.11514,0.69912,0.20861,0.11558,0.6964,0.16775,0.11533,0.69741,0.16775,0.11523,0.69857,0.16768,0.12253,0.71377,0.24729,0.1212,0.70825,0.06037,0.14521,0.69167,0.22535,0.14523,0.69155,0.17072,0.20399,0.75056,0.35669,0.18964,0.6891,-0.05227,0.25493,0.71311,0.56685,0.23059,0.61347,-0.00621,0.22485,0.68193,0.74914,0.19123,0.57468,0.22607,0.205,0.68844,0.80085,0.17705,0.56065,0.2454,0.2064,0.67288,0.78961,0.17053,0.56778,0.25388,0.21151,0.67404,0.75,0.17581,0.57258,0.23916,0.42475,0.76805,0.12043,0.42219,0.71603,-0.12112,0.61233,0.77128,0.1086,0.61951,0.72285,-0.11764,0.78191,0.83343,-0.11468,0.78757,0.75672,-0.29913,0.7997,0.84641,-0.14189,0.80801,0.77409,-0.31377,0.89028,0.82476,-0.21991,0.87046,0.7478,-0.37457
lay,0.1703,0.66413,0.26687,0.15449,0.66929,0.24719,0.15346,0.67114,0.24719,0.15246,0.67327,0.2471,0.15546,0.66695,0.22198,0.15531,0.6669,0.22201,0.15524,0.66698,0.22191,0.15307,0.6865,0.19363,0.15702,0.67329,0.07979,0.18098,0.66801,0.25838,0.18205,0.6655,0.22476,0.2059,0.73832,0.24221,0.22689,0.6584,-0.0049,0.25187,0.69878,0.40438,0.28229,0.58466,0.06507,0.1969,0.67247,0.55864,0.21269,0.56951,0.24836,0.16984,0.68505,0.59695,0.19173,0.55287,0.26794,0.17122,0.66245,0.59907,0.18274,0.56065,0.27223,0.18048,0.66347,0.56493,0.19067,0.56852,0.25847,0.44339,0.75004,0.07085,0.44745,0.69649,-0.07122,0.62722,0.75811,0.01776,0.62598,0.72309,-0.07167,0.80595,0.77695,-0.07578,0.80059,0.75751,-0.15011,0.8226,0.7774,-0.08784,0.81902,0.75778,-0.15463,0.90053,0.78546,-0.1513,0.8877,0.76075,-0.20453
lay,0.17312,0.67769,0.31756,0.16009,0.68414,0.27234,0.15915,0.68706,0.2724,0.15809,0.69006,0.27236,0.16275,0.67735,0.27191,0.16383,0.67565,0.27195,0.16484,0.67405,0.27187,0.16177,0.69505,0.12555,0.17128,0.67314,0.12037,0.18307,0.68125,0.27609,0.18662,0.67417,0.27402,0.21105,0.72462,0.12325,0.24561,0.64118,0.06967,0.21778,0.69959,0.29035,0.30484,0.57195,0.19914,0.14062,0.68656,0.50255,0.21639,0.56352,0.39025,0.11654,0.68392,0.54544,0.18988,0.54751,0.42034,0.10787,0.68109,0.55342,0.18309,0.55459,0.42388,0.12432,0.68046,0.51482,0.18941,0.56199,0.3999,0.45358,0.72547,-0.00725,0.45809,0.66953,0.00678,0.62313,0.74958,-0.10007,0.61333,0.70624,0.11519,0.82501,0.77551,-0.26211,0.7702,0.73114,0.08239,0.84042,0.76856,-0.27626,0.79529,0.73515,0.08209,0.92064,0.78978,-0.3395,0.85517,0.73841,0.05297
lay,0.17082,0.66509,0.27376,0.15528,0.67115,0.22996,0.15404,0.6741,0.23003,0.15285,0.6771,0.22999,0.158,0.66397,0.22677,0.15877,0.66196,0.22681,0.15948,0.6601,0.22671,0.15701,0.68249,0.09465,0.16466,0.6591,0.07656,0.1811,0.66894,0.23689,0.18426,0.66159,0.23112,0.21167,0.71275,0.10311,0.24258,0.63049,0.02433,0.22927,0.68816,0.27165,0.30457,0.56086,0.14857,0.14596,0.67873,0.47506,0.21663,0.55108,0.33722,0.12226,0.67548,0.51897,0.18929,0.53523,0.36503,0.11103,0.67259,0.52507,0.18313,0.54339,0.36949,0.12773,0.67219,0.48635,0.19055,0.54984,0.34732,0.45415,0.71212,0.00557,0.46003,0.6559,-0.00602,0.62494,0.73563,-0.06468,0.62151,0.68962,0.09178,0.82132,0.7583,-0.18448,0.77602,0.71576,0.08058,0.83301,0.75175,-0.19436,0.79224,0.7183,0.08265,0.9128,0.7685,-0.24308,0.85527,0.72322,0.05766
lay,0.12907,0.63965,0.19881,0.11849,0.65034,0.18636,0.11868,0.65251,0.18634,0.11899,0.65498,0.1863,0.1198,0.64873,0.16031,0.12077,0.6494,0.16026,0.12176,0.65029,0.16019,0.13276,0.66948,0.14463,0.13316,0.65842,0.02692,0.14337,0.63968,0.19259,0.14597,0.6382,0.15873,0.20466,0.69664,0.22384,0.21264,0.62109,-0.066,0.23548,0.67345,0.43539,0.26647,0.55924,0.02376,0.20397,0.65714,0.63154,0.21014,0.52629,0.23379,0.18388,0.65077,0.68698,0.18848,0.51046,0.25235,0.18457,0.65058,0.6631,0.17744,0.51773,0.26466,0.18618,0.65093,0.63015,0.18527,0.52424,0.24705,0.45266,0.70169,0.08421,0.44959,0.64518,-0.08504,0.61222,0.70817,0.12673,0.61317,0.66468,-0.04037,0.7702,0.75071,-0.1435,0.76063,0.68999,-0.26342,0.78243,0.75608,-0.17373,0.77412,0.70265,-0.28051,0.86498,0.75118,-0.25576,0.83903,0.68927,-0.33213
lay,0.13822,0.63225,0.25575,0.12745,0.6415,0.26371,0.12778,0.64267,0.26362,0.12823,0.64392,0.26352,0.12689,0.64201,0.21968,0.12676,0.64343,0.21966,0.12674,0.64498,0.21963,0.13676,0.65511,0.29794,0.13502,0.65458,0.09945,0.15236,0.63354,0.27647,0.15199,0.63335,0.21859,0.22538,0.68523,0.41383,0.19791,0.63571,-0.05773,0.29202,0.65184,0.63424,0.23855,0.56192,-0.0673,0.2976,0.6187,0.80813,0.19991,0.5129,0.12011,0.29988,0.61223,0.86157,0.18931,0.49816,0.12748,0.28848,0.60875,0.83717,0.18242,0.50302,0.1416,0.28945,0.60887,0.80415,0.18655,0.50782,0.13392,0.4566,0.69985,0.14142,0.443,0.65714,-0.14235,0.63385,0.70384,0.18573,0.58052,0.60038,-0.11505,0.78107,0.76879,-0.14746,0.7292,0.65162,-0.37317,0.79231,0.79027,-0.18503,0.74091,0.67085,-0.39401,0.88478,0.77387,-0.25813,0.80298,0.6359,-0.43149
lay,0.1476,0.62735,0.11059,0.13292,0.62982,0.13181,0.13319,0.63009,0.13174,0.13338,0.63053,0.13166,0.12969,0.63254,0.08936,0.12769,0.63455,0.08929,0.12557,0.63678,0.08944,0.13756,0.64414,0.2432,0.12839,0.65378,0.04532,0.16157,0.63246,0.15422,0.15857,0.63509,0.09718,0.24029,0.65545,0.34979,0.17884,0.68378,-0.04422,0.32263,0.65895,0.6113,0.09576,0.64969,-0.10234,0.38183,0.64654,0.73285,0.07557,0.59868,0.23568,0.39206,0.64357,0.76094,0.07445,0.58702,0.24898,0.39063,0.64417,0.72568,0.07886,0.5866,0.29286,0.38652,0.64649,0.71957,0.08308,0.59081,0.25838,0.46142,0.67857,0.13469,0.42239,0.69324,-0.13519,0.60362,0.60364,0.07286,0.58286,0.6041,-0.21451,0.71704,0.69069,0.0166,0.66652,0.7345,-0.24962,0.71358,0.71571,0.01154,0.65108,0.76531,-0.24872,0.81281,0.67342,-0.03546,0.76966,0.77202,-0.28454
lay,0.14171,0.64871,-0.0248,0.12816,0.65265,-0.01127,0.12856,0.65166,-0.01141,0.12895,0.6507,-0.01155,0.12674,0.65887,-0.03522,0.1262,0.66279,-0.0352,0.12589,0.66697,-0.03524,0.13514,0.65976,0.09767,0.13382,0.68282,-0.0156,0.15809,0.64852,0.0204,0.15818,0.65581,-0.01275,0.2476,0.65454,0.19856,0.19468,0.69693,-0.04226,0.32841,0.67902,0.34437,0.14863,0.71211,-0.04656,0.38544,0.67186,0.38926,0.18364,0.69743,0.22857,0.39389,0.67056,0.40754,0.1917,0.69484,0.25288,0.39383,0.67082,0.37766,0.1996,0.69374,0.2853,0.382,0.67142,0.37706,0.19891,0.69652,0.24363,0.47561,0.67258,0.10139,0.44237,0.71475,-0.10159,0.61786,0.65482,0.10928,0.62319,0.68198,-0.22116,0.63158,0.72774,0.23676,0.81204,0.72165,-0.22931,0.62508,0.74184,0.2506,0.82363,0.73061,-0.22808,0.70044,0.73603,0.23893,0.91088,0.71666,-0.31164
lay,0.16657,0.65355,-0.0493,0.15532,0.65758,-0.02425,0.156,0.65633,-0.02433,0.15671,0.65507,-0.02449,0.1546,0.66395,-0.04289,0.155,0.66761,-0.04289,0.15545,0.67177,-0.04288,0.16489,0.66097,0.10563,0.16508,0.68499,0.01991,0.18399,0.651,-0.00048,0.18356,0.65804,-0.02554,0.27326,0.65242,0.22008,0.2192,0.70497,-0.05066,0.36288,0.67265,0.39442,0.10879,0.72792,-0.21604,0.44068,0.66415,0.43854,0.01062,0.75078,-0.1736,0.46585,0.66366,0.46842,-0.00058,0.75651,-0.20156,0.46553,0.66263,0.43181,-0.00068,0.75517,-0.16752,0.45842,0.6638,0.42322,0.00327,0.75382,-0.1664,0.49023,0.68936,0.11566,0.45695,0.72461,-0.1157,0.62995,0.64762,-0.06414,0.61471,0.65025,-0.3348,0.75793,0.7246,0.0609,0.65297,0.74139,-0.11125,0.77995,0.74675,0.07135,0.63347,0.75668,-0.08414,0.85329,0.73337,-0.00644,0.7206,0.75496,-0.11028
lay,0.18183,0.63839,0.07091,0.16876,0.64154,0.10025,0.16909,0.64033,0.10018,0.16943,0.63914,0.09996,0.16791,0.64835,0.07973,0.16792,0.65224,0.07972,0.16832,0.65637,0.07979,0.17456,0.6472,0.22816,0.17555,0.67041,0.13272,0.1976,0.6378,0.11761,0.19766,0.64459,0.08965,0.27719,0.63864,0.31038,0.22336,0.69032,0.07278,0.35918,0.66585,0.4407,0.12235,0.71083,-0.01663,0.44522,0.67202,0.47082,0.01914,0.73516,0.11464,0.46513,0.6706,0.4855,0.00122,0.739,0.10106,0.46612,0.67074,0.45166,0.00051,0.73914,0.13013,0.45527,0.67133,0.45375,0.01333,0.73625,0.12087,0.48998,0.6791,0.09181,0.44019,0.72134,-0.0915,0.63808,0.64003,-0.18935,0.52447,0.69446,-0.46921,0.77942,0.73298,-0.19122,0.63787,0.8155,-0.44975,0.78691,0.75595,-0.19608,0.64944,0.82156,-0.4458,0.8793,0.72606,-0.33123,0.71349,0.86163,-0.5743
